median_house_value,median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,longitude
452600,8.3252,41,880,129,322,126,37.88,-122.23
358500,8.3014,21,7099,1106,2401,1138,37.86,-122.22
352100,7.2574,52,1467,190,496,177,37.85,-122.24
341300,5.6431,52,1274,235,558,219,37.85,-122.25
342200,3.8462,52,1627,280,565,259,37.85,-122.25
269700,4.0368,52,919,213,413,193,37.85,-122.25
299200,3.6591,52,2535,489,1094,514,37.84,-122.25
241400,3.12,52,3104,687,1157,647,37.84,-122.25
226700,2.0804,42,2555,665,1206,595,37.84,-122.26
261100,3.6912,52,3549,707,1551,714,37.84,-122.25
281500,3.2031,52,2202,434,910,402,37.85,-122.26
241800,3.2705,52,3503,752,1504,734,37.85,-122.26
213500,3.075,52,2491,474,1098,468,37.85,-122.26
191300,2.6736,52,696,191,345,174,37.84,-122.26
159200,1.9167,52,2643,626,1212,620,37.85,-122.26
140000,2.125,50,1120,283,697,264,37.85,-122.26
152500,2.775,52,1966,347,793,331,37.85,-122.27
155500,2.1202,52,1228,293,648,303,37.85,-122.27
158700,1.9911,50,2239,455,990,419,37.84,-122.26
162900,2.6033,52,1503,298,690,275,37.84,-122.27
147500,1.3578,40,751,184,409,166,37.85,-122.27
159800,1.7135,42,1639,367,929,366,37.85,-122.27
113900,1.725,52,2436,541,1015,478,37.84,-122.27
99700,2.1806,52,1688,337,853,325,37.84,-122.27
132600,2.6,52,2224,437,1006,422,37.84,-122.27
107500,2.4038,41,535,123,317,119,37.85,-122.28
93800,2.4597,49,1130,244,607,239,37.85,-122.28
105500,1.808,52,1898,421,1102,397,37.85,-122.28
108900,1.6424,50,2082,492,1131,473,37.84,-122.28
132000,1.6875,52,729,160,395,155,37.84,-122.28
122300,1.9274,49,1916,447,863,378,37.84,-122.28
115200,1.9615,52,2153,481,1168,441,37.84,-122.28
110400,1.7969,48,1922,409,1026,335,37.84,-122.27
104900,1.375,49,1655,366,754,329,37.83,-122.27
109700,2.7303,51,2665,574,1258,536,37.83,-122.27
97200,1.4861,49,1215,282,570,264,37.83,-122.27
104500,1.0972,48,1798,432,987,374,37.83,-122.27
103900,1.4103,52,1511,390,901,403,37.83,-122.28
191400,3.48,52,1470,330,689,309,37.83,-122.26
176000,2.5898,52,2432,715,1377,696,37.83,-122.26
155400,2.0978,52,1665,419,946,395,37.83,-122.26
150000,1.2852,51,936,311,517,249,37.83,-122.26
118800,1.025,49,713,202,462,189,37.84,-122.26
188800,3.9643,52,950,202,467,198,37.84,-122.26
184400,3.0125,52,1443,311,660,292,37.83,-122.26
182300,2.6768,52,1656,420,718,382,37.83,-122.26
142500,2.026,50,1125,322,616,304,37.83,-122.26
137500,1.7348,43,1007,312,558,253,37.82,-122.27
187500,0.9506,40,624,195,423,160,37.82,-122.26
112500,1.775,40,946,375,700,352,37.82,-122.27
